CrimeDateTime,CrimeCode,Description,Inside_Outside,New_District,Latitude,Longitude,DayOfWeek,CrimeHour,DateTime,temp,feels_like,wind_speed,humidity,clouds_all,weather_id,weather_description,WeatherHour
2024-11-06 03:00:00,1A,HOMICIDE,O,NORTHERN,39.317807,-76.6198,Wednesday,2024-11-06 03:00:00,2024-11-06 03:00:00,64.49,64.72,13.0,87,63,803,broken clouds,2024-11-06 03:00:00
2024-11-06 04:20:00,3C,ROBBERY - COMMERCIAL,I,NORTHERN,39.32458,-76.617346,Wednesday,2024-11-06 04:00:00,2024-11-06 04:00:00,64.09,64.29,13.42,87,58,803,broken clouds,2024-11-06 04:00:00
2024-11-06 04:20:00,3A,ROBBERY,I,NORTHERN,39.32458,-76.617346,Wednesday,2024-11-06 04:00:00,2024-11-06 04:00:00,64.09,64.29,13.42,87,58,803,broken clouds,2024-11-06 04:00:00
2024-11-06 09:30:00,4A,AGG. ASSAULT - GUN,O,NORTHEAST,39.328551,-76.600495,Wednesday,2024-11-06 09:00:00,2024-11-06 09:00:00,62.33,62.26,12.55,85,2,800,sky is clear,2024-11-06 09:00:00
2024-11-06 10:00:00,6G,LARCENY- FROM BLDG. ,O,EASTERN,39.317706,-76.619102,Wednesday,2024-11-06 10:00:00,2024-11-06 10:00:00,61.92,61.81,11.39,85,0,800,sky is clear,2024-11-06 10:00:00
2024-11-06 10:57:00,6J,LARCENY- OTHER      ,I,NORTHERN,39.328477,-76.611003,Wednesday,2024-11-06 10:00:00,2024-11-06 10:00:00,61.92,61.81,11.39,85,0,800,sky is clear,2024-11-06 10:00:00
2024-11-06 11:10:00,5A,BURGLARY,I,WESTERN,39.30918,-76.64487,Wednesday,2024-11-06 11:00:00,2024-11-06 11:00:00,61.92,61.84,10.54,86,1,800,sky is clear,2024-11-06 11:00:00
2024-11-06 11:41:00,4E,COMMON ASSAULT,I,WESTERN,39.314289,-76.647788,Wednesday,2024-11-06 11:00:00,2024-11-06 11:00:00,61.92,61.84,10.54,86,1,800,sky is clear,2024-11-06 11:00:00
2024-11-06 13:30:00,4E,COMMON ASSAULT,I,EASTERN,39.317807,-76.593977,Wednesday,2024-11-06 13:00:00,2024-11-06 13:00:00,63.36,63.43,9.95,86,5,800,sky is clear,2024-11-06 13:00:00
2024-11-06 13:30:00,4E,COMMON ASSAULT,I,EASTERN,39.317807,-76.593977,Wednesday,2024-11-06 13:00:00,2024-11-06 13:00:00,63.36,63.43,9.95,86,5,800,sky is clear,2024-11-06 13:00:00
2024-11-06 14:54:00,4A,AGG. ASSAULT - GUN,O,NORTHERN,39.32990735438914,-76.60625581978128,Wednesday,2024-11-06 14:00:00,2024-11-06 14:00:00,68.36,68.56,3.0,78,0,800,sky is clear,2024-11-06 14:00:00
2024-11-06 16:30:00,3A,ROBBERY,I,NORTHERN,39.326975,-76.616072,Wednesday,2024-11-06 16:00:00,2024-11-06 16:00:00,75.56,75.83,10.33,64,7,800,sky is clear,2024-11-06 16:00:00
2024-11-06 16:30:00,3C,ROBBERY - COMMERCIAL,I,NORTHERN,39.326975,-76.616072,Wednesday,2024-11-06 16:00:00,2024-11-06 16:00:00,75.56,75.83,10.33,64,7,800,sky is clear,2024-11-06 16:00:00
2024-11-06 16:30:00,6C,LARCENY- SHOPLIFTING,I,EASTERN,39.316408,-76.616826,Wednesday,2024-11-06 16:00:00,2024-11-06 16:00:00,75.56,75.83,10.33,64,7,800,sky is clear,2024-11-06 16:00:00
2024-11-06 17:00:00,6J,LARCENY- OTHER      ,I,EASTERN,39.316408,-76.616826,Wednesday,2024-11-06 17:00:00,2024-11-06 17:00:00,79.0,79.0,1.01,58,55,803,broken clouds,2024-11-06 17:00:00
2024-11-06 20:13:00,6C,LARCENY- SHOPLIFTING,I,NORTHERN,39.326908,-76.609338,Wednesday,2024-11-06 20:00:00,2024-11-06 20:00:00,81.14,82.67,3.0,56,76,501,moderate rain,2024-11-06 20:00:00
2024-11-06 22:00:00,7A,AUTO THEFT,O,NORTHERN,39.340945,-76.604383,Wednesday,2024-11-06 22:00:00,2024-11-06 22:00:00,78.46,78.82,7.43,60,84,501,moderate rain,2024-11-06 22:00:00
2024-11-06 22:00:00,6F,LARCENY FROM AUTO,O,NORTHERN,39.340552,-76.603604,Wednesday,2024-11-06 22:00:00,2024-11-06 22:00:00,78.46,78.82,7.43,60,84,501,moderate rain,2024-11-06 22:00:00
2024-11-07 01:19:00,8A,ARSON,O,WESTERN,39.31246996284077,-76.63432386008724,Thursday,2024-11-07 01:00:00,2024-11-07 01:00:00,68.86,69.21,7.63,80,69,803,broken clouds,2024-11-07 01:00:00
2024-11-07 02:25:00,4A,AGG. ASSAULT - GUN,O,EASTERN,39.315324,-76.616898,Thursday,2024-11-07 02:00:00,2024-11-07 02:00:00,69.19,69.57,8.86,80,72,803,broken clouds,2024-11-07 02:00:00
2024-11-07 03:35:00,6C,LARCENY- SHOPLIFTING,I,NORTHERN,39.332177,-76.628007,Thursday,2024-11-07 03:00:00,2024-11-07 03:00:00,68.54,69.04,8.75,84,100,804,overcast clouds,2024-11-07 03:00:00
2024-11-07 08:00:00,4E,COMMON ASSAULT,O,EASTERN,39.314324,-76.597731,Thursday,2024-11-07 08:00:00,2024-11-07 08:00:00,68.95,69.31,6.26,80,93,804,overcast clouds,2024-11-07 08:00:00
2024-11-07 10:20:00,6J,LARCENY- OTHER      ,I,NORTHERN,39.323723,-76.627794,Thursday,2024-11-07 10:00:00,2024-11-07 10:00:00,62.37,62.58,4.63,91,95,804,overcast clouds,2024-11-07 10:00:00
2024-11-07 11:00:00,6J,LARCENY- OTHER      ,I,WESTERN,39.311985,-76.637305,Thursday,2024-11-07 11:00:00,2024-11-07 11:00:00,61.92,61.99,3.0,89,99,804,overcast clouds,2024-11-07 11:00:00
2024-11-07 12:27:00,6J,LARCENY- OTHER      ,I,NORTHERN,39.319944,-76.624029,Thursday,2024-11-07 12:00:00,2024-11-07 12:00:00,62.1,62.42,4.12,94,91,804,overcast clouds,2024-11-07 12:00:00
2024-11-07 13:30:00,4E,COMMON ASSAULT,O,WESTERN,39.310078,-76.643428,Thursday,2024-11-07 13:00:00,2024-11-07 13:00:00,63.91,64.33,4.45,92,71,803,broken clouds,2024-11-07 13:00:00
2024-11-07 13:30:00,4A,AGG. ASSAULT - GUN,O,NORTHERN,39.327112,-76.629084,Thursday,2024-11-07 13:00:00,2024-11-07 13:00:00,63.91,64.33,4.45,92,71,803,broken clouds,2024-11-07 13:00:00
2024-11-07 14:15:00,4E,COMMON ASSAULT,I,NORTHERN,39.342406,-76.604508,Thursday,2024-11-07 14:00:00,2024-11-07 14:00:00,74.25,74.75,5.01,72,61,803,broken clouds,2024-11-07 14:00:00
2024-11-07 15:30:00,6F,LARCENY FROM AUTO,O,EASTERN,39.314585,-76.606509,Thursday,2024-11-07 15:00:00,2024-11-07 15:00:00,75.92,76.46,7.0,69,72,501,moderate rain,2024-11-07 15:00:00
2024-11-07 15:40:00,4A,AGG. ASSAULT - GUN,I,NORTHERN,39.318847,-76.618343,Thursday,2024-11-07 15:00:00,2024-11-07 15:00:00,75.92,76.46,7.0,69,72,501,moderate rain,2024-11-07 15:00:00
2024-11-07 15:40:00,4E,COMMON ASSAULT,I,NORTHERN,39.318847,-76.618343,Thursday,2024-11-07 15:00:00,2024-11-07 15:00:00,75.92,76.46,7.0,69,72,501,moderate rain,2024-11-07 15:00:00
2024-11-07 17:15:00,4E,COMMON ASSAULT,I,NORTHERN,39.32736,-76.609493,Thursday,2024-11-07 17:00:00,2024-11-07 17:00:00,78.19,78.39,1.99,57,39,501,moderate rain,2024-11-07 17:00:00
2024-11-07 17:15:00,6J,LARCENY- OTHER      ,I,EASTERN,39.308892,-76.61634,Thursday,2024-11-07 17:00:00,2024-11-07 17:00:00,78.19,78.39,1.99,57,39,501,moderate rain,2024-11-07 17:00:00
2024-11-07 19:00:00,4E,COMMON ASSAULT,O,WESTERN,39.31389229978799,-76.64568460340008,Thursday,2024-11-07 19:00:00,2024-11-07 19:00:00,77.23,77.23,4.0,55,90,501,moderate rain,2024-11-07 19:00:00
2024-11-07 20:30:00,6J,LARCENY- OTHER      ,I,NORTHERN,39.322086,-76.622183,Thursday,2024-11-07 20:00:00,2024-11-07 20:00:00,76.3,76.03,4.0,51,87,500,light rain,2024-11-07 20:00:00
2024-11-07 22:13:00,5A,BURGLARY,I,EASTERN,39.327241,-76.594575,Thursday,2024-11-07 22:00:00,2024-11-07 22:00:00,71.64,71.13,3.0,56,34,502,heavy intensity rain,2024-11-07 22:00:00
2024-11-07 23:40:00,4A,AGG. ASSAULT - GUN,O,NORTHERN,39.328477,-76.611003,Thursday,2024-11-07 23:00:00,2024-11-07 23:00:00,68.58,67.82,1.01,57,6,501,moderate rain,2024-11-07 23:00:00
2024-11-08 01:30:00,6J,LARCENY- OTHER      ,I,NORTHERN,39.340273,-76.609476,Friday,2024-11-08 01:00:00,2024-11-08 01:00:00,64.36,63.37,1.01,61,3,800,sky is clear,2024-11-08 01:00:00
2024-11-08 02:30:00,4E,COMMON ASSAULT,I,NORTHERN,39.326987,-76.6158,Friday,2024-11-08 02:00:00,2024-11-08 02:00:00,61.95,60.8,1.01,63,0,800,sky is clear,2024-11-08 02:00:00
2024-11-08 08:00:00,7A,AUTO THEFT,I,EASTERN,39.319512,-76.59716,Friday,2024-11-08 08:00:00,2024-11-08 08:00:00,51.26,50.09,7.63,85,55,803,broken clouds,2024-11-08 08:00:00
2024-11-08 09:30:00,5A,BURGLARY,I,NORTHERN,39.323695,-76.615689,Friday,2024-11-08 09:00:00,2024-11-08 09:00:00,51.26,50.09,6.96,85,46,802,scattered clouds,2024-11-08 09:00:00
2024-11-08 09:30:00,5A,BURGLARY,I,NORTHERN,39.323695,-76.615689,Friday,2024-11-08 09:00:00,2024-11-08 09:00:00,51.26,50.09,6.96,85,46,802,scattered clouds,2024-11-08 09:00:00
2024-11-08 11:00:00,5A,BURGLARY,I,EASTERN,39.311011,-76.615658,Friday,2024-11-08 11:00:00,2024-11-08 11:00:00,48.16,46.76,3.98,85,15,801,few clouds,2024-11-08 11:00:00
2024-11-08 11:10:00,4E,COMMON ASSAULT,I,WESTERN,39.311385,-76.643966,Friday,2024-11-08 11:00:00,2024-11-08 11:00:00,48.16,46.76,3.98,85,15,801,few clouds,2024-11-08 11:00:00
2024-11-08 11:10:00,4E,COMMON ASSAULT,I,WESTERN,39.311385,-76.643966,Friday,2024-11-08 11:00:00,2024-11-08 11:00:00,48.16,46.76,3.98,85,15,801,few clouds,2024-11-08 11:00:00
2024-11-08 11:10:00,4E,COMMON ASSAULT,I,WESTERN,39.311385,-76.643966,Friday,2024-11-08 11:00:00,2024-11-08 11:00:00,48.16,46.76,3.98,85,15,801,few clouds,2024-11-08 11:00:00
2024-11-08 14:00:00,3A,ROBBERY,O,NORTHERN,39.320978,-76.609548,Friday,2024-11-08 14:00:00,2024-11-08 14:00:00,60.87,59.49,1.01,60,0,800,sky is clear,2024-11-08 14:00:00
2024-11-08 22:00:00,5A,BURGLARY,I,NORTHERN,39.330548,-76.631122,Friday,2024-11-08 22:00:00,2024-11-08 22:00:00,67.93,65.82,4.0,30,0,800,sky is clear,2024-11-08 22:00:00
2024-11-08 23:50:00,7A,AUTO THEFT,O,WESTERN,39.315184,-76.646149,Friday,2024-11-08 23:00:00,2024-11-08 23:00:00,65.17,62.89,11.56,32,0,800,sky is clear,2024-11-08 23:00:00
2024-11-09 00:00:00,6F,LARCENY FROM AUTO,O,NORTHERN,39.349854,-76.60888,Saturday,2024-11-09 00:00:00,2024-11-09 00:00:00,63.97,61.61,1.01,33,0,800,sky is clear,2024-11-09 00:00:00
2024-11-09 03:05:00,7A,AUTO THEFT,O,WESTERN,39.309608,-76.632676,Saturday,2024-11-09 03:00:00,2024-11-09 03:00:00,59.97,57.36,1.01,36,8,800,sky is clear,2024-11-09 03:00:00
2024-11-09 07:00:00,6J,LARCENY- OTHER      ,I,NORTHERN,39.331430005529626,-76.63225998013851,Saturday,2024-11-09 07:00:00,2024-11-09 07:00:00,51.58,49.08,1.99,56,0,800,sky is clear,2024-11-09 07:00:00
2024-11-09 07:30:00,4A,AGG. ASSAULT - GUN,O,EASTERN,39.31291,-76.59534,Saturday,2024-11-09 07:00:00,2024-11-09 07:00:00,51.58,49.08,1.99,56,0,800,sky is clear,2024-11-09 07:00:00
2024-11-09 10:30:00,7A,AUTO THEFT,O,NORTHERN,39.33539015981515,-76.62591324173259,Saturday,2024-11-09 10:00:00,2024-11-09 10:00:00,47.57,45.36,5.01,61,0,800,sky is clear,2024-11-09 10:00:00
2024-11-09 11:45:00,7A,AUTO THEFT,O,NORTHERN,39.351639,-76.609017,Saturday,2024-11-09 11:00:00,2024-11-09 11:00:00,47.08,47.08,1.99,51,0,800,sky is clear,2024-11-09 11:00:00
2024-11-09 14:15:00,6J,LARCENY- OTHER      ,I,NORTHERN,39.326034,-76.614679,Saturday,2024-11-09 14:00:00,2024-11-09 14:00:00,50.5,47.14,1.01,40,0,800,sky is clear,2024-11-09 14:00:00
2024-11-09 14:25:00,4E,COMMON ASSAULT,I,NORTHEAST,39.336649,-76.602043,Saturday,2024-11-09 14:00:00,2024-11-09 14:00:00,50.5,47.14,1.01,40,0,800,sky is clear,2024-11-09 14:00:00
2024-11-09 14:30:00,4A,AGG. ASSAULT - GUN,I,NORTHERN,39.325382,-76.607497,Saturday,2024-11-09 14:00:00,2024-11-09 14:00:00,50.5,47.14,1.01,40,0,800,sky is clear,2024-11-09 14:00:00
2024-11-09 15:30:00,6J,LARCENY- OTHER      ,I,NORTHERN,39.337532,-76.634497,Saturday,2024-11-09 15:00:00,2024-11-09 15:00:00,52.92,49.6,1.99,36,0,800,sky is clear,2024-11-09 15:00:00
2024-11-09 15:40:00,3A,ROBBERY,O,NORTHERN,39.324635,-76.614739,Saturday,2024-11-09 15:00:00,2024-11-09 15:00:00,52.92,49.6,1.99,36,0,800,sky is clear,2024-11-09 15:00:00
2024-11-09 16:45:00,4A,AGG. ASSAULT - GUN,I,WESTERN,39.310713,-76.634338,Saturday,2024-11-09 16:00:00,2024-11-09 16:00:00,53.67,50.29,4.0,33,0,800,sky is clear,2024-11-09 16:00:00
2024-11-09 18:00:00,5A,BURGLARY,I,EASTERN,39.316787,-76.596226,Saturday,2024-11-09 18:00:00,2024-11-09 18:00:00,58.28,55.13,1.01,28,0,800,sky is clear,2024-11-09 18:00:00
2024-11-09 18:18:00,4E,COMMON ASSAULT,O,NORTHERN,39.349965,-76.612419,Saturday,2024-11-09 18:00:00,2024-11-09 18:00:00,58.28,55.13,1.01,28,0,800,sky is clear,2024-11-09 18:00:00
2024-11-09 21:30:00,6J,LARCENY- OTHER      ,I,NORTHERN,39.330404,-76.633532,Saturday,2024-11-09 21:00:00,2024-11-09 21:00:00,57.72,54.55,1.01,29,77,803,broken clouds,2024-11-09 21:00:00
2024-11-09 22:15:00,3A,ROBBERY,O,NORTHERN,39.326369,-76.608007,Saturday,2024-11-09 22:00:00,2024-11-09 22:00:00,54.14,50.85,3.04,34,70,803,broken clouds,2024-11-09 22:00:00
2024-11-09 23:30:00,4A,AGG. ASSAULT - GUN,I,NORTHERN,39.34784,-76.609251,Saturday,2024-11-09 23:00:00,2024-11-09 23:00:00,49.23,47.75,4.32,49,87,804,overcast clouds,2024-11-09 23:00:00
