dt,dt_iso,timezone,city_name,lat,lon,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,weather_id,weather_main,weather_description,weather_icon,DateTime
1730851200,2024-11-06 00:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,66.81,61.48,67.1,65.59,67.71,1021,83,1.01,0,0.0,40,802,Clouds,scattered clouds,03n,2024-11-06 00:00:00
1730854800,2024-11-06 01:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,64.67,60.06,64.83,63.68,66.7,1021,85,12.15,179,0.0,51,803,Clouds,broken clouds,04n,2024-11-06 01:00:00
1730858400,2024-11-06 02:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,63.73,60.12,63.95,62.67,65.48,1021,88,12.55,183,0.0,45,802,Clouds,scattered clouds,03n,2024-11-06 02:00:00
1730862000,2024-11-06 03:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,64.49,60.53,64.72,63.34,65.88,1021,87,13.0,187,0.0,63,803,Clouds,broken clouds,04n,2024-11-06 03:00:00
1730865600,2024-11-06 04:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,64.09,60.15,64.29,60.67,65.88,1020,87,13.42,192,0.0,58,803,Clouds,broken clouds,04n,2024-11-06 04:00:00
1730869200,2024-11-06 05:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,63.59,59.32,63.7,62.35,64.08,1020,86,1.01,198,0.25,54,500,Rain,light rain,10n,2024-11-06 05:00:00
1730872800,2024-11-06 06:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,62.74,58.82,62.82,61.63,64.71,1020,87,13.96,197,0.0,38,802,Clouds,scattered clouds,03n,2024-11-06 06:00:00
1730876400,2024-11-06 07:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,61.29,57.07,61.16,60.08,64.71,1020,86,13.47,202,0.0,13,801,Clouds,few clouds,02n,2024-11-06 07:00:00
1730880000,2024-11-06 08:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,61.09,56.88,60.94,59.88,63.9,1019,86,1.99,246,0.0,4,800,Clear,sky is clear,01n,2024-11-06 08:00:00
1730883600,2024-11-06 09:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,62.33,57.78,62.26,60.35,64.71,1019,85,12.55,206,0.0,2,800,Clear,sky is clear,01n,2024-11-06 09:00:00
1730887200,2024-11-06 10:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,61.92,57.36,61.81,61.07,63.72,1019,85,11.39,219,0.0,0,800,Clear,sky is clear,01n,2024-11-06 10:00:00
1730890800,2024-11-06 11:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,61.92,57.69,61.84,61.07,63.72,1019,86,10.54,217,0.0,1,800,Clear,sky is clear,01n,2024-11-06 11:00:00
1730894400,2024-11-06 12:00:00 +0000 UTC,-18000,Johns Hopkins University,39.329901,-76.620518,62.15,58.24,62.15,60.35,63.68,1019,87,9.98,214,0.0,4,800,Clear,sky is clear,01d,2024-11-06 12:00:00
